originalorder,UNIQUE_ID,REASONING,CONFIDENCE
16,1,"Record represents “The Vapors” at 5334 Lemmon in Dallas (Gaia’s Guide 1975). No other listing shares this name or address in the dataset, so it stands alone.",high
5,2,"Record is “Act III” in Dallas in 1977 (Gaia’s Guide, 3115 Live Oak). It matches the Damron 1977 entry by title and location, despite a minor street-number typo (3113 vs. 3115 Live Oak).",high
20,2,"Record is “Act III” in Dallas in 1977 (Damron), matching the Gaia’s Guide 1977 entry by identical name and near-identical address (3113/3115 Live Oak).",high
17,3,"Record is Bentley’s Bar & R at 3851 Cedar Springs (Damron 1985). It shares the same address and core name with the Gaia’s Guide 1985 listing, indicating the same restaurant/bar.",high
13,3,"Record is Bentley’s (Gaia’s Guide 1985) at 3851 Cedar Springs, matching the Damron 1985 Bentley’s Bar & R entry by identical address and name (modulo encoding differences).",high
8,4,"Record is Terry’s Ranch at 4117 Maple (Damron 1977). Shares exact address and Ranch suffix with the Tex’s Ranch entry, suggesting a later rename or listing inconsistency.",medium
18,4,"Record is Tex’s Ranch at 4117 Maple (Damron 1981). Same address and Ranch suffix as the earlier 1977 Terry’s Ranch listing, indicating the same venue under a different name.",medium
3,5,"Record is Throckmorton & Reagan – south of Cedar Springs (Damron 1989), a cruising area without a street address. No other cruising-area record matches this description.",high
15,6,"Record is Throckmorton Mining Co. at 3014 Throckmorton (Damron 1989), a distinct bar/club and cruising-area entry separate from the generic Throckmorton & Reagan listing.",high
21,7,"The 1977 listing “""Six Mile"" Hustlers” and the 1983 listing “Six Mile 'Hustlers'” share virtually identical titles, detailed location descriptions (Woodward between 6 & 7 Mile Roads), the same city/state, and appear in the same guide series; these minor orthographic variations indicate a single cruising area entity across years.",high
1,8,"The 1975 Damron listing “Casbah” and the 1975 Gaia’s Guide listing “The Casbah” both describe a bar at Plymouth & Hubble in Detroit. Despite a small article difference in the title and different guidebooks, the identical location and context identify one establishment.",high
6,7,"See Group 1: “Six Mile 'Hustlers'” (1983) is the same cruising area as the 1977 “""Six Mile"" Hustlers,” differing only in punctuation and year.",high
12,9,"The 1983 “T.N.T. Bar” at 13333 W. 8 Mi. Rd. overlaps in name base (“T.N.T.”), exact street address, city/state, and amenity context with later/earlier T.N.T. listings, indicating it’s the same business entity (bar + bathhouse).",high
11,9,"The 1985 “T.N.T. Baths” shares the unique address (13333 W. 8 Mile Rd.), the ‘T.N.T.’ brand, and bathhouse function with other T.N.T. entries, confirming a single evolving establishment.",high
2,9,"The 1981 “T.N.T. Health Club” at the same address and under the T.N.T. name includes baths and gym features like the other T.N.T. listings, indicating it is the same facility marketed under a slightly different title.",high
7,8,"See Group 2: “The Casbah” in Gaia’s Guide (1975) is the same bar at Plymouth & Hubble as Damron’s “Casbah,” differing only by the addition of the definite article and the guidebook source.",high
14,10,"Records 1, 2, and 3 all refer to the same Portland bar despite minor name spelling differences (‘Dahl & Penn’, ‘Dahl & Penne’, ‘Dahl & Penne’s’) and variations in how the address is written (Alder & 2nd Ave. SW vs. 604 SW 2nd). The consistent city/state and overlapping publication contexts confirm this is the same venue over different years.",high
4,10,"Records 1, 2, and 3 all refer to the same Portland bar despite minor name spelling differences (‘Dahl & Penn’, ‘Dahl & Penne’, ‘Dahl & Penne’s’) and variations in how the address is written (Alder & 2nd Ave. SW vs. 604 SW 2nd). The consistent city/state and overlapping publication contexts confirm this is the same venue over different years.",high
10,10,"Records 1, 2, and 3 all refer to the same Portland bar despite minor name spelling differences (‘Dahl & Penn’, ‘Dahl & Penne’, ‘Dahl & Penne’s’) and variations in how the address is written (Alder & 2nd Ave. SW vs. 604 SW 2nd). The consistent city/state and overlapping publication contexts confirm this is the same venue over different years.",high
19,11,"‘Dakota Cafe’ appears only once, with a unique name, a single address (239 SW Broadway), and no other entries matching its name or location across the dataset.",high
9,12,"‘Vapors’ is distinct in name, type (Baths), and address (509 SW 4th), with no other records sharing those attributes, indicating it is a standalone listing.",high
